City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,kavaratti,10.5669,72.642,29.41,73,39,2.83,IN,1713244024
153,as samawah,31.332,45.2944,25.25,35,65,4.57,IQ,1713244024
154,punta arenas,-53.15,-70.9167,8.06,87,40,2.57,CL,1713243956
155,ormara,25.2088,64.6357,27.27,68,95,3.13,PK,1713244025
156,port douglas,-16.4833,145.4667,25.98,87,97,7.85,AU,1713244025
157,talnakh,69.4865,88.3972,-19.33,90,98,3.52,RU,1713244025
158,iquique,-20.2208,-70.1431,20.11,77,0,3.98,CL,1713244026
159,saipan,15.1355,145.701,27.01,78,42,4.87,MP,1713243753
160,invercargill,-46.4,168.35,11.12,93,93,1.34,NZ,1713244027
161,uturoa,-16.7333,-151.4333,27.94,76,73,8.13,PF,1713244027
162,yuzhno-kurilsk,44.0306,145.8556,10.76,76,42,5.13,RU,1713244028
163,aljezur,37.3191,-8.8033,14.42,74,88,3.36,PT,1713244028
164,sarikei,2.1167,111.5167,34.78,49,33,0.54,MY,1713244028
165,palikir - national government center,6.9248,158.1611,31.47,74,75,5.14,FM,1713244029
166,hadibu,12.65,54.0333,28.7,67,69,3.54,YE,1713244029
167,revda,56.801,59.9303,6.94,81,100,4.76,RU,1713244029
168,arraial do cabo,-22.9661,-42.0278,24.53,85,77,9.12,BR,1713244030
169,tres arroyos,-38.3739,-60.2798,21.04,94,100,7.79,AR,1713244030
170,pariaman,-0.619,100.12,32.03,79,78,1.75,ID,1713244031
171,sorong,-0.8833,131.25,27.93,72,100,1.39,ID,1713243857
172,slave lake,55.2834,-114.769,1.93,56,24,2.69,CA,1713244032
173,ts'q'alt'ubo,42.3413,42.5976,14.36,54,20,3.97,GE,1713244032
174,palmer,42.1584,-72.3287,10.23,66,0,0.0,US,1713244033
175,cockburn town,21.4612,-71.1419,25.68,78,8,8.59,TC,1713244033
176,rio tuba,8.5061,117.4317,29.82,72,47,6.76,PH,1713244033
177,manzhouli,49.6,117.4333,17.06,28,3,5.8,CN,1713244034
178,mairwa,26.2333,84.15,40.03,16,26,6.69,IN,1713244034
179,geraldton,-28.7667,114.6,33.23,22,0,4.12,AU,1713244035
180,isiolo,0.3546,37.5822,22.9,72,100,0.64,KE,1713244035
181,yueyang,29.3333,113.0919,23.78,81,100,3.88,CN,1713244035
182,kununurra,-15.7667,128.7333,33.99,36,75,5.66,AU,1713243877
183,kokopo,-4.352,152.2633,28.74,79,48,1.23,PG,1713244036
184,saint-pierre,-21.3393,55.4781,24.82,88,40,9.26,RE,1713244036
185,okha,53.5739,142.9478,2.36,97,100,3.13,RU,1713244037
